device,resolution,rep,time_us
CPU,1000,0,80589
CPU,1000,1,78674
CPU,1000,2,78578
CPU,1000,3,78580
CPU,1000,4,78957
CPU,2000,0,314495
CPU,2000,1,327402
CPU,2000,2,313432
CPU,2000,3,312844
CPU,2000,4,312880
CPU,4000,0,1256120
CPU,4000,1,1276097
CPU,4000,2,1515965
CPU,4000,3,1318196
CPU,4000,4,1259784
CPU,8000,0,5027985
CPU,8000,1,5886008
CPU,8000,2,5064028
CPU,8000,3,5025988
CPU,8000,4,5022970
CPU,16000,0,20159206
CPU,16000,1,21099537
CPU,16000,2,20501558
CPU,16000,3,20309551
CPU,16000,4,20781471
GPU,1000,0,359612
GPU,1000,1,1510
GPU,1000,2,1500
GPU,1000,3,1492
GPU,1000,4,1492
GPU,2000,0,268853
GPU,2000,1,3756
GPU,2000,2,3793
GPU,2000,3,3634
GPU,2000,4,3614
GPU,4000,0,278324
GPU,4000,1,13053
GPU,4000,2,12499
GPU,4000,3,12468
GPU,4000,4,12454
GPU,8000,0,391129
GPU,8000,1,47474
GPU,8000,2,46873
GPU,8000,3,46304
GPU,8000,4,46839
GPU,16000,0,813982
GPU,16000,1,175321
GPU,16000,2,217112
GPU,16000,3,226695
GPU,16000,4,272442
