patch mean_runtime
20 0.543063
21 0.548126
22 0.543848
23 0.544987
24 0.549050
25 0.545326
26 0.543508
27 0.537617
28 0.542214
29 0.562158
30 0.545166
31 0.551078
32 0.545934
33 0.559329
34 0.544559
35 0.563752
36 0.567655
37 0.552468
38 0.570713
39 0.564099
40 0.569678
41 0.572294
42 0.581886
43 0.574548
44 0.567790
45 0.590600
46 0.580497
47 0.583122
48 0.577587
49 0.579684
50 0.589160
51 0.606119
52 0.579645
53 0.586808
54 0.571524
55 0.607902
56 0.606470
57 0.611450
58 0.608975
59 0.591167
60 0.587322
